regn,regn_cbr,is_dead,death_date,closure_type,reason_text,reason_banki,reorg_info
3221,3221,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2840,2840,True,,voluntary,Ликвидация по решению учредителей,отзыв лицензии,-1.0
2797,2797,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
2118,2118,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1390,1390,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2744,2744,True,,revocation,,отзыв лицензии,
1824,1824,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2800,2800,True,,reorganisation,Реорганизация путем слияния,решение о ликвидации,-1.0
2242,2242,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2420,2420,True,,revocation,,отзыв лицензии,
1451,1451,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
116,116,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
2353,2353,True,,revocation,,отзыв лицензии,
1021,1021,True,,voluntary,,решение о ликвидации,
1823,1823,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1086,1086,True,,revocation,,отзыв лицензии,
3041,3041,True,,revocation,,отзыв лицензии,
1962,1962,True,,revocation,,отзыв лицензии,
398,398,True,,revocation,,отзыв лицензии,
2334,2334,True,,revocation,,отзыв лицензии,
1032,1032,True,,voluntary,,решение о ликвидации,
1589,1589,True,,revocation,,отзыв лицензии,
2300,2300,True,,revocation,,отзыв лицензии,
848,848,True,,voluntary,,решение о ликвидации,
,3305-К,True,,revocation,Решением суда организация признана банкротом,,-1.0
1330,1330,True,,voluntary,,решение о ликвидации,
2106,2106,True,,revocation,,отзыв лицензии,
3355,3355,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1681,1681,True,,revocation,,отзыв лицензии,
2458,2458,True,,revocation,,отзыв лицензии,
3499,3499,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2047,2047,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
583,583,True,,voluntary,,решение о ликвидации,
1407,1407,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,1.0
2199,2199,True,,revocation,,отзыв лицензии,
2079,2079,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
2765,2765,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3320,3320,True,,voluntary,,решение о ликвидации,
3145,3145,True,,revocation,,отзыв лицензии,
1308,1308,True,,revocation,,отзыв лицензии,
